coap.version,coap.type,coap.token_len,coap.mid,coap.opt.name,coap.opt.length,coap.opt.length_ext,coap.code,coap.payload_length,coap.opt.desc,coap.opt.delta,coap.opt.proxy_uri,attack
1,2,2,50864,-1,-1,-1,69,12,-1,-1,-1,0
1,0,2,45178,2,2,11,1,-1,1,1,11,0
1,2,2,45178,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,54053,2,2,11,1,-1,1,1,8,0
1,2,2,54053,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,52836,2,2,11,2,277,1,1,6,1
1,2,2,52836,1,1,8,65,-1,2,2,6,0
1,0,2,47090,2,2,11,3,16,1,1,11,0
1,2,2,47090,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,18279,2,2,11,2,385,1,1,6,1
1,2,2,18279,1,1,8,65,-1,2,2,6,0
1,0,2,58960,2,2,11,3,13,1,1,8,0
1,2,2,58960,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,23077,2,2,11,3,12,1,1,6,0
1,2,2,23077,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,7207,2,2,11,3,16,1,1,11,0
1,2,2,7207,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,575,2,2,11,3,13,1,1,8,0
1,2,2,575,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,5424,2,2,11,2,498,1,1,6,1
1,2,2,5424,1,1,8,65,-1,2,2,6,0
1,0,2,13799,2,2,11,1,-1,1,1,6,0
1,2,2,13799,-1,-1,-1,69,498,-1,-1,-1,0
1,0,2,35160,2,2,11,1,-1,1,1,11,0
1,2,2,35160,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,16927,2,2,11,1,-1,1,1,8,0
1,2,2,16927,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,17712,2,2,11,3,12,1,1,6,0
1,2,2,17712,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,30496,2,2,11,3,16,1,1,11,0
1,2,2,30496,-1,-1,-1,68,-1,-1,-1,-1,0
