coap.version,coap.type,coap.token_len,coap.mid,coap.opt.name,coap.opt.length,coap.opt.length_ext,coap.code,coap.payload_length,coap.opt.desc,coap.opt.delta,coap.opt.proxy_uri,attack
1,2,2,48527,-1,-1,-1,69,497,-1,-1,-1,0
1,0,2,40402,2,2,11,1,-1,1,1,11,0
1,2,2,40402,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,45027,2,2,11,1,-1,1,1,8,0
1,2,2,45027,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,12983,2,2,11,3,12,1,1,6,0
1,2,2,12983,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,21771,2,2,11,2,442,1,1,6,1
1,2,2,21771,1,1,8,65,-1,2,2,6,0
1,0,2,27014,2,2,11,3,16,1,1,11,0
1,2,2,27014,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,62206,2,2,11,2,282,1,1,6,1
1,2,2,62206,1,1,8,65,-1,2,2,6,0
1,0,2,36592,2,2,11,2,406,1,1,6,1
1,2,2,36592,1,1,8,65,-1,2,2,6,0
1,0,2,54984,2,2,11,1,-1,1,1,6,0
1,2,2,54984,-1,-1,-1,69,406,-1,-1,-1,0
1,0,2,23040,2,2,11,1,-1,1,1,11,0
1,2,2,23040,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,56616,2,2,11,1,-1,1,1,8,0
1,2,2,56616,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,20614,2,2,11,2,476,1,1,6,1
1,2,2,20614,1,1,8,65,-1,2,2,6,0
1,0,2,57746,2,2,11,1,-1,1,1,6,0
1,2,2,57746,-1,-1,-1,69,476,-1,-1,-1,0
1,0,2,21483,2,2,11,1,-1,1,1,11,0
1,2,2,21483,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,57004,2,2,11,1,-1,1,1,8,0
1,2,2,57004,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,41272,2,2,11,3,13,1,1,8,0
1,2,2,41272,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,52697,2,2,11,3,12,1,1,6,0
1,2,2,52697,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,11114,2,2,11,3,16,1,1,11,0
1,2,2,11114,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,11534,2,2,11,3,13,1,1,8,0
1,2,2,11534,-1,-1,-1,68,-1,-1,-1,-1,0
1,0,2,8714,2,2,11,2,377,1,1,6,1
1,2,2,8714,1,1,8,65,-1,2,2,6,0
1,0,2,37330,2,2,11,2,410,1,1,6,1
1,2,2,37330,1,1,8,65,-1,2,2,6,0
1,0,2,14056,2,2,11,1,-1,1,1,6,0
1,2,2,14056,-1,-1,-1,69,410,-1,-1,-1,0
1,0,2,35472,2,2,11,1,-1,1,1,11,0
1,2,2,35472,-1,-1,-1,69,16,-1,-1,-1,0
1,0,2,56902,2,2,11,1,-1,1,1,8,0
1,2,2,56902,-1,-1,-1,69,13,-1,-1,-1,0
1,0,2,38252,2,2,11,2,524,1,1,6,1
1,2,2,38252,1,1,8,65,-1,2,2,6,0
1,0,2,50377,2,2,11,3,12,1,1,6,0
